"created,""currency"",""fee"",""net"""
"2020-05-30 02:55:29,""usd"",""0.68"",""12.27"""
"2020-05-30 04:18:14,""usd"",""0.68"",""12.27"""
"2020-05-30 04:32:34,""usd"",""0.68"",""12.27"""
"2020-05-30 04:37:19,""usd"",""0.68"",""12.27"""
"2020-05-30 07:17:20,""usd"",""0.68"",""12.27"""
"2020-05-30 07:40:48,""usd"",""1.75"",""48.23"""
"2020-05-30 09:13:07,""usd"",""0.68"",""12.27"""
"2020-05-30 10:49:35,""usd"",""0.68"",""12.27"""
"2020-05-30 12:47:15,""usd"",""0.68"",""12.27"""
"2020-05-30 13:42:52,""usd"",""0.68"",""12.27"""
"2020-05-30 14:29:48,""usd"",""-15.00"",""27.95"""
"2020-05-30 14:47:36,""usd"",""0.68"",""12.27"""
"2020-05-30 15:16:08,""usd"",""0.73"",""14.06"""
"2020-05-30 15:25:18,""usd"",""0.68"",""12.27"""
"2020-05-30 16:20:02,""usd"",""0.68"",""12.27"""
"2020-05-30 17:56:36,""usd"",""0.68"",""12.27"""
"2020-05-30 17:57:59,""usd"",""0.65"",""11.35"""
"2020-05-30 18:47:47,""usd"",""0.68"",""12.27"""
"2020-05-30 19:34:47,""usd"",""0.68"",""12.27"""
"2020-05-30 21:11:27,""usd"",""0.48"",""12.47"""
"2020-05-30 21:18:52,""usd"",""0.73"",""14.06"""
"2020-05-30 21:52:22,""usd"",""0.68"",""12.27"""
"2020-05-30 22:53:33,""usd"",""0.68"",""12.27"""
"2020-05-30 23:03:31,""usd"",""0.88"",""19.07"""
"2020-05-30 23:14:05,""usd"",""0.68"",""12.27"""
"2020-05-30 23:25:11,""usd"",""0.68"",""12.27"""
"2020-05-31 00:20:03,""usd"",""0.68"",""12.27"""
"2020-05-31 00:53:49,""usd"",""0.68"",""12.27"""
"2020-05-31 01:48:00,""usd"",""0.68"",""12.27"""
"2020-05-31 02:26:40,""usd"",""0.88"",""19.07"""
"2020-05-31 02:27:35,""usd"",""0.68"",""12.27"""
"2020-05-31 02:55:24,""usd"",""0.68"",""12.27"""
"2020-05-31 02:56:44,""usd"",""0.65"",""11.35"""
"2020-05-31 03:08:01,""usd"",""0.68"",""12.27"""
"2020-05-31 03:31:40,""usd"",""0.68"",""12.27"""
"2020-05-31 03:51:34,""usd"",""0.88"",""19.07"""
"2020-05-31 04:31:46,""usd"",""0.88"",""19.07"""
"2020-05-31 06:05:03,""usd"",""0.48"",""12.47"""
"2020-05-31 07:02:06,""usd"",""0.68"",""12.27"""
"2020-05-31 10:11:46,""usd"",""0.68"",""12.27"""
"2020-05-31 11:10:08,""usd"",""0.73"",""14.06"""
"2020-05-31 14:19:25,""usd"",""0.48"",""12.47"""
"2020-05-31 14:26:16,""usd"",""0.68"",""12.27"""
"2020-05-31 16:32:17,""usd"",""0.68"",""12.27"""
"2020-05-31 17:29:21,""usd"",""0.51"",""14.28"""
"2020-05-31 17:51:01,""usd"",""0.68"",""12.27"""
"2020-05-31 19:04:46,""usd"",""0.73"",""14.06"""
"2020-05-31 23:05:50,""usd"",""0.68"",""12.27"""
"2020-05-31 23:40:19,""usd"",""0.00"",""-14.79"""
